,ds,name,phase,type,volt,Ek,gamma,beta,Brho,tpass,phi_o,phi_t,phi_c,phi_b
rf7,1e-05,rf7,-45.0,rfcavity,1.188875389,15.217536933472967,1.0081115684324948,0.1266011756853137,0.7986561319622812,9.158182726681465e-08,-113.22957942811081,-45.0,68.22957942811081,0.0
dr11,0.3194444444444444,dr11,0.0,drift,0.0,15.637867858246814,1.008335621975161,0.12831636291487303,0.8096561972554016,9.573400924457032e-08,-4.1102370526919,-45.0,-40.8897629473081,0.0
rf8,1e-05,rf8,-45.0,rfcavity,1.200630168,16.062354724991785,1.0085618908045615,0.13002441171625015,0.8206178222215135,9.988618775397125e-08,105.00901417436489,-45.0,-150.0090141743649,0.0
dr12,0.22,dr12,0.0,drift,0.0,16.48684159173676,1.008788159633962,0.13170918497225959,0.8314373531366402,1.0267215442065083e-07,178.22421817470376,-45.0,136.77578182529624,0.0
qm5,0.18555555555555572,qm5,0.0,quadrupole,0.0,16.48684159173676,1.008788159633962,0.13170918497225959,0.8314373531366402,1.0780766459672416e-07,-46.81457439808946,-45.0,1.8145743980894622,0.0
dr13,0.22,dr13,0.0,drift,0.0,16.48684159173676,1.008788159633962,0.13170918497225959,0.8314373531366402,1.129431747727975e-07,88.14663302911822,-45.0,-133.14663302911822,0.0
rf9,1e-05,rf9,-45.0,rfcavity,1.210701662,16.91488926933377,1.0090163265209147,0.13338541831221792,0.8422093175208687,1.1572913820737242e-07,161.36175208974691,-45.0,153.63824791025309,0.0
dr14,0.3194444444444444,dr14,0.0,drift,0.0,17.342936946930784,1.0092444934078675,0.13503973076751308,0.8528476265130696,1.1967459090795115e-07,-94.95175093904345,-45.0,49.95175093904345,0.0
rf10,1e-05,rf10,-45.0,rfcavity,1.219158281,17.7739744908482,1.0094742540156285,0.13668425448373256,0.8634301876350431,1.236200405907802e-07,8.734666725704301,-45.0,-53.7346667257043,0.0
dr15,0.22,dr15,0.0,drift,0.0,18.205012034765616,1.0097040146233895,0.13830812321267724,0.8738869710371142,1.2627308346739314e-07,78.45663352309157,-45.0,-123.45663352309157,0.0
qm6,0.18555555555555572,qm6,0.0,quadrupole,0.0,18.205012034765616,1.0097040146233895,0.13830812321267724,0.8738869710371142,1.3116356888499415e-07,-153.0214097023536,-45.0,108.0214097023536,0.0
dr16,0.22,dr16,0.0,drift,0.0,18.205012034765616,1.0097040146233895,0.13830812321267724,0.8738869710371142,1.3605405430259518e-07,-24.499452927798302,-45.0,-20.500547072201698,0.0
rf11,1e-05,rf11,-45.0,rfcavity,1.226070129,18.638493285978697,1.009935077826902,0.13992109489844834,0.8842806968459871,1.387070943564809e-07,45.2224396883189,-45.0,-90.2224396883189,0.0
dr17,0.3194444444444444,dr17,0.0,drift,0.0,19.07197453719178,1.0101661410304146,0.14151459545833817,0.8945560043116783,1.4247202653047976e-07,144.16485722100788,-45.0,170.83514277899212,0.0
rf12,1e-05,rf12,-45.0,rfcavity,1.231508376,19.507378499070597,1.0103982291172056,0.14309621991354143,0.9047617480836186,1.462369560596424e-07,-116.89279475259764,-45.0,71.89279475259764,0.0
dr18,0.22,dr18,0.0,drift,0.0,19.942782460949417,1.0106303172039963,0.1446594811622236,0.9148559532983838,1.4877351544846707e-07,-50.232014014285596,-45.0,5.232014014285596,0.0
qm7,0.18555555555555572,qm7,0.0,quadrupole,0.0,19.942782460949417,1.0106303172039963,0.1446594811622236,0.9148559532983838,1.534492812833303e-07,72.6471121259201,-45.0,-117.6471121259201,0.0
dr19,0.22,dr19,0.0,drift,0.0,19.942782460949417,1.0106303172039963,0.1446594811622236,0.9148559532983838,1.5812504711819353e-07,-164.4737617338733,-45.0,119.47376173387329,0.0
rf13,1e-05,rf13,-45.0,rfcavity,1.235544706,20.379613480985284,1.0108631659710436,0.14621000602568357,0.9248748292542929,1.6066160402484076e-07,-97.81304622718562,-45.0,52.81304622718562,0.0
dr20,0.3194444444444444,dr20,0.0,drift,0.0,20.816444501021152,1.0110960147380912,0.14774320519926684,0.9347886020561417,1.6426781276902252e-07,-3.0418804300879856,-45.0,-41.958119569912014,0.0
rf14,1e-05,rf14,-45.0,rfcavity,1.238250819,21.2542322764835,1.0113293734948399,0.14926291676930242,0.9446219619343804,1.678740191800987e-07,91.72922405299323,-45.0,-136.72922405299323,0.0
dr21,0.22,dr21,0.0,drift,0.0,21.69202005194585,1.0115627322515885,0.15076627481435634,0.9543562418025264,1.7030783504081031e-07,155.6899048724963,-45.0,159.3100951275037,0.0
qm8,0.18555555555555572,qm8,0.0,quadrupole,0.0,21.69202005194585,1.0115627322515885,0.15076627481435634,0.9543562418025264,1.7479420880404238e-07,-86.40819262976675,-45.0,41.408192629766745,0.0
dr22,0.22,dr22,0.0,drift,0.0,21.69202005194585,1.0115627322515885,0.15076627481435634,0.9543562418025264,1.7928058256727445e-07,31.49370986797294,-45.0,-76.49370986797294,0.0
rf15,1e-05,rf15,-45.0,rfcavity,1.239697983,22.13031947714714,1.0117963637385359,0.15225549405951963,0.9640056523943662,1.8171439623179672e-07,95.45433297161799,-45.0,-140.454332971618,0.0
dr23,0.3194444444444444,dr23,0.0,drift,0.0,22.568618902348433,1.0120299952254832,0.15372927121174554,0.9735616232513425,1.8518018268111724e-07,-173.46479914023894,-45.0,128.46479914023894,0.0
rf16,1e-05,rf16,-45.0,rfcavity,1.23995665,23.00700978014461,1.012263675460397,0.1551883499912166,0.9830288450238409,1.886459670602585e-07,-82.38398565640637,-45.0,37.38398565640637,0.0
dr24,0.22,dr24,0.0,drift,0.0,23.445400657940787,1.012497355695311,0.15663284161135327,0.9924079114219034,1.909886260734542e-07,-20.818906789622815,-45.0,-24.181093210377185,0.0
qm9,0.18555555555555572,qm9,0.0,quadrupole,0.0,23.445400657940787,1.012497355695311,0.15663284161135327,0.9924079114219034,1.9530696603810653e-07,92.66706748143952,-45.0,-137.66706748143952,0.0
dr25,0.22,dr25,0.0,drift,0.0,23.445400657940787,1.012497355695311,0.15663284161135327,0.9924079114219034,1.9962530600275885e-07,-153.84695824749724,-45.0,108.84695824749724,0.0
rf17,1e-05,rf17,-45.0,rfcavity,1.239096118,23.883487291730653,1.012730873755749,0.15806215910216498,1.0016948782124708,2.019679630619742e-07,-92.28193073131752,-45.0,47.281930731317516,0.0
dr26,0.3194444444444444,dr26,0.0,drift,0.0,24.321573925520518,1.012964391816187,0.15947769175961735,1.0108986428471796,2.0530882413836966e-07,-4.484101643645772,-45.0,-40.51589835635423,0.0
rf18,1e-05,rf18,-45.0,rfcavity,1.237184244,24.758984609775293,1.0131975495679275,0.16087765109567392,1.020007442667337,2.0864968336813473e-07,83.31367891458103,-45.0,-128.31367891458103,0.0
dr27,0.22,dr27,0.0,drift,0.0,25.19639529403007,1.013430707319668,0.16226457889906593,1.0290376852201706,2.1091103534769363e-07,142.74200893738907,-45.0,172.25799106261093,0.0
qm10,0.18555555555555572,qm10,0.0,quadrupole,0.0,25.19639529403007,1.013430707319668,0.16226457889906593,1.0290376852201706,2.150794981403534e-07,-107.7107888715127,-45.0,62.710788871512705,0.0
dr28,0.22,dr28,0.0,drift,0.0,25.19639529403007,1.013430707319668,0.16226457889906593,1.0290376852201706,2.192479609330132e-07,1.8364133195873364,-45.0,-46.836413319587336,0.0
rf19,1e-05,rf19,-45.0,rfcavity,1.234287202,25.632781719263054,1.0136633190995352,0.16363560402129718,1.0379705421721044,2.215093111652916e-07,61.264697423863254,-45.0,-106.26469742386325,0.0
dr29,0.3194444444444444,dr29,0.0,drift,0.0,26.06916814449604,1.0138959308794022,0.16499430519058517,1.0468291994566223,2.2473846990175794e-07,146.1269890181984,-45.0,168.8730109818016,0.0
rf20,1e-05,rf20,-45.0,rfcavity,1.230469283,26.504204731521565,1.0141278231403985,0.16633683790619894,1.0555884567591587,2.2796762698304422e-07,-129.01076288559761,-45.0,84.01076288559761,0.0
dr30,0.22,dr30,0.0,drift,0.0,26.93924131854709,1.0143597154013948,0.16766771158037908,1.0642776041430406,2.3015610628479937e-07,-71.49752683547194,-45.0,26.497526835471945,0.0
