,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
170,11.0,8.0,8.0,5.738104959105274e-09,3.2939290510917374e-17,1.3441989208830951e-20,1.1593959293024515e-10,9.78948541734467e-05,0.0,1.0
171,11.0,8.0,10.0,5.207226494420629e-09,2.7125171864547917e-17,9.964100351764387e-21,9.982034037091032e-11,6.266338995686027e-05,0.0,1.0
172,11.0,8.0,12.0,4.749866439380441e-09,2.2568777041423536e-17,7.545849470907172e-21,8.686684909047393e-11,4.123875344079597e-05,0.0,1.0
173,11.0,8.0,16.0,4.00375337738204e-09,1.603453939471435e-17,4.4982878162599445e-21,6.706927624672824e-11,1.794309625012571e-05,0.0,1.0
174,11.0,8.0,20.0,3.4313699485644635e-09,1.177716404536031e-17,2.8643214490206796e-21,5.351935583525534e-11,8.64244366421116e-06,0.0,1.0
0,3.0,4.0,4.0,1.1369797994091974e-08,1.2997489648589917e-16,7.025900594413039e-19,8.382064539487297e-10,0.049695400694305635,5.4002074418411265e-12,1.2
1,3.0,4.0,6.0,9.811930419850645e-09,9.671848516241514e-17,4.445065984246792e-19,6.667132805222041e-10,0.040091217460957465,2.198195378974743e-12,1.2
2,3.0,4.0,8.0,8.573909014382616e-09,7.38058886569097e-17,2.9397286999821057e-19,5.421926502620729e-10,0.032747265489399144,9.067923293322443e-13,1.2
3,3.0,4.0,10.0,7.577027206501508e-09,5.761481860466782e-17,2.0347731660376625e-19,4.510846002733481e-10,0.0273500328896955,3.9622170518615887e-13,1.2
4,3.0,4.0,12.0,6.739827535193654e-09,4.5568832902868806e-17,1.43557698714242e-19,3.788900879070895e-10,0.022841429973105266,1.6819390689825065e-13,1.2
5,3.0,4.0,16.0,5.481974931834951e-09,3.012963344268103e-17,7.75842894142155e-20,2.7853956525817923e-10,0.01624129816036958,3.0509231764581275e-14,1.2
6,3.0,4.0,20.0,4.562954336708728e-09,2.0866269879684433e-17,4.5717600795441454e-20,2.138167458255818e-10,0.012078746734917125,6.1815867762051035e-15,1.2
7,5.0,4.0,4.0,1.388995394750928e-08,1.940227520853824e-16,1.0919314214537718e-18,1.0449552246167161e-09,0.052297924571862726,7.83533114959996e-12,1.2
8,5.0,4.0,6.0,1.1868729064079528e-08,1.4153579926530282e-16,6.690696687767206e-19,8.179667895316536e-10,0.04165963353217489,3.05133495732063e-12,1.2
9,5.0,4.0,8.0,1.0283924481357512e-08,1.0618858440189985e-16,4.2948166363548957e-19,6.55348505480473e-10,0.033484333818545535,1.1837266417578723e-12,1.2
10,5.0,4.0,10.0,9.016562715800013e-09,8.158643706963436e-17,2.8803386167944243e-19,5.366878624297763e-10,0.027334911908597305,4.704546916727135e-13,1.2
11,5.0,4.0,12.0,7.996712152405154e-09,6.414985567757424e-17,2.0245042914998215e-19,4.499449179066057e-10,0.022906493714853645,2.0196089062296955e-13,1.2
12,5.0,4.0,16.0,6.4199039434386575e-09,4.131999232133652e-17,1.0482567835729248e-19,3.237679390509389e-10,0.015817544366278663,3.1627678767495764e-14,1.2
13,5.0,4.0,20.0,5.294042437706812e-09,2.80863694116116e-17,5.948407937091379e-20,2.438935820617545e-10,0.011318928015717922,5.186788824735397e-15,1.2
14,7.0,4.0,4.0,1.3154076883877677e-08,1.737901042719512e-16,7.603656049861253e-19,8.719894523365092e-10,0.037449692403128045,2.299373180277764e-12,1.2
15,7.0,4.0,6.0,1.1311900018198353e-08,1.2843506273381292e-16,4.759807120970417e-19,6.899135540754666e-10,0.029429680971034496,7.911665423251107e-13,1.2
16,7.0,4.0,8.0,9.843631139064945e-09,9.720769677833951e-17,3.1062277637048894e-19,5.573354253683225e-10,0.02337077822997064,2.7042251678422957e-13,1.2
17,7.0,4.0,10.0,8.664310594053288e-09,7.528032806052034e-17,2.1004999029629432e-19,4.583121101348887e-10,0.01867099445356071,9.049732863709792e-14,1.2
18,7.0,4.0,12.0,7.705544851004546e-09,5.952358743792476e-17,1.4816598708208697e-19,3.8492335221714853e-10,0.015289617026631626,3.24209161270811e-14,1.2
19,7.0,4.0,16.0,6.216212082459973e-09,3.8719443553277496e-17,7.815089915613965e-20,2.7955482316737026e-10,0.010304630754727215,3.7785667752411966e-15,1.2
20,7.0,4.0,20.0,5.14897077138628e-09,2.6557016282610297e-17,4.511627802007436e-20,2.1240592745983893e-10,0.00723642437416997,4.705690820581357e-16,1.2
21,9.0,4.0,4.0,1.1441730809539409e-08,1.312999607219576e-16,3.867568039942696e-19,6.218977440015919e-10,0.020456600232085616,1.78336600349861e-13,1.2
22,9.0,4.0,6.0,9.964708334418694e-09,9.954844983102641e-17,2.5303764099302284e-19,5.030284693663201e-10,0.01587227291739441,4.988179922643709e-14,1.2
23,9.0,4.0,8.0,8.759487442355501e-09,7.689946307486081e-17,1.7084282207709869e-19,4.133313707875301e-10,0.012400973434383492,1.3512427977823942e-14,1.2
24,9.0,4.0,10.0,7.779655369877469e-09,6.064289429464268e-17,1.1985662057934542e-19,3.462031492914896e-10,0.00988453943778292,3.813782920648073e-15,1.2
25,9.0,4.0,12.0,6.956910905756198e-09,4.848441113400214e-17,8.580178337261911e-20,2.929194144685857e-10,0.00788853890667621,1.0243232611271403e-15,1.2
