NAME,S,X,Y,PX,PY,ALFX,ALFY,BETX,BETY,EMITX,EMITY,DX,DY,SIGX,SIGY
DR8,2.2875,0,0,0,0,0.5128409858,-6.563509735,0.6452320043,2.862309338,0,0,0,0,0.015624077302054071,0.032907486539321025
PS11,2.4415,0,0,0,0,0.2136909479,-8.917047984,0.5341984354,5.228153828,0,0,0,0,0.014216337803270269,0.04447445217788687
RF6,2.4415,0,0,0,0,0.1818336854,-9.228832253,0.5388975456,5.274143614,0,0,0,0,0.01427872835375362,0.044669635049608886
PS12,2.4415,0,0,0,0,0.1818336854,-9.228832253,0.5388975456,5.274143614,0,0,0,0,0.01427872835375362,0.044669635049608886
DR9,2.5185,0,0,0,0,0.03396359531,-10.48912213,0.522251714,6.795116206,0,0,0,0,0.014056473093042258,0.050703141992782065
QM4,2.745,0,0,0,0,-1.01304193,-3.457369682,0.6896320601,10.90231848,0,0,0,0,0.016152700857130862,0.06422377966931714
DR10,2.9715,0,0,0,0,-2.988957818,6.366712817,1.619034381,9.38246264,0,0,0,0,0.024749388002953367,0.0595792251153253
PS13,3.0485,0,0,0,0,-3.462241881,6.025239135,2.116656889,8.426591716,0,0,0,0,0.02829838564778941,0.05646279916284715
RF7,3.0485,0,0,0,0,-3.585691319,5.533776388,2.13503747,8.499766374,0,0,0,0,0.028420988524942105,0.056707424470282056
PS14,3.0485,0,0,0,0,-3.585691319,5.533776388,2.13503747,8.499766374,0,0,0,0,0.028420988524942105,0.056707424470282056
DR11,3.2025,0,0,0,0,-4.595501208,4.954931913,3.407915542,6.86787142,0,0,0,0,0.03590714208351395,0.05097385819890008
PS15,3.3565,0,0,0,0,-5.605311097,4.376087439,4.995017943,5.416096525,0,0,0,0,0.04347153293089229,0.045266782491194174
RF8,3.3565,0,0,0,0,-5.890280735,4.067094942,5.037841517,5.462530114,0,0,0,0,0.04365748155344606,0.04546041025814772
PS16,3.3565,0,0,0,0,-5.890280735,4.067094942,5.037841517,5.462530114,0,0,0,0,0.04365748155344606,0.04546041025814772
DR12,3.4335,0,0,0,0,-6.444963331,3.815707445,6.003501973,4.845427566,0,0,0,0,0.04765832312388739,0.04281564407307605
QM5,3.66,0,0,0,0,-0.002127031684,-0.333679637,8.174388073,3.798911961,0,0,0,0,0.055611428940110785,0.03791107008772833
DR13,3.8865,0,0,0,0,6.442438833,-4.793051479,6.005118705,5.21282583,0,0,0,0,0.047664739841138455,0.044409208812006454
PS17,3.9635,0,0,0,0,5.888329699,-5.153075995,5.039808615,5.991455093,0,0,0,0,0.04366600406877982,0.04761048251252285
RF9,3.9635,0,0,0,0,5.606984098,-5.487546937,5.082473658,6.042176402,0,0,0,0,0.04385044417383343,0.04781158363487039
PS18,3.9635,0,0,0,0,5.606984098,-5.487546937,5.082473658,6.042176402,0,0,0,0,0.04385044417383343,0.04781158363487039
DR14,4.1175,0,0,0,0,4.607683255,-6.293787376,3.483144242,7.88680177,0,0,0,0,0.03630129836218565,0.05462442660976738
PS19,4.2715,0,0,0,0,3.608382411,-7.100027816,2.1967396,9.98389626,0,0,0,0,0.028828743767449948,0.06145913711492306
RF10,4.2715,0,0,0,0,3.488353829,-7.645542137,2.215105336,10.06736614,0,0,0,0,0.028949003598352983,0.06171551543676048
PS20,4.2715,0,0,0,0,3.488353829,-7.645542137,2.215105336,10.06736614,0,0,0,0,0.028949003598352983,0.06171551543676048
DR15,4.3485,0,0,0,0,3.024403447,-8.106428031,1.706839642,11.29667436,0,0,0,0,0.025411645554197004,0.06537500476911685
QM6,4.575,0,0,0,0,1.021623632,3.750537499,0.752711494,13.3646932,0,0,0,0,0.01687526892617285,0.07110758438984506
DR16,4.8015,0,0,0,0,-0.03736619872,12.5584335,0.5864618926,8.461027655,0,0,0,0,0.014895542583411123,0.05657805140164677
PS21,4.8785,0,0,0,0,-0.170623821,11.09450888,0.6026937568,6.615115294,0,0,0,0,0.015100272163232318,0.050027078040253456
RF11,4.8785,0,0,0,0,-0.2028676047,10.74060385,0.6076709865,6.669744944,0,0,0,0,0.015162495299946304,0.050233222786977075
PS22,4.8785,0,0,0,0,-0.2028676047,10.74060385,0.6076709865,6.669744944,0,0,0,0,0.015162495299946304,0.050233222786977075
DR17,5.0325,0,0,0,0,-0.468156828,8.03932619,0.7115698851,3.761931234,0,0,0,0,0.01640760561453496,0.03772609507814463
PS23,5.1865,0,0,0,0,-0.7334460512,5.338048525,0.897621554,1.690628863,0,0,0,0,0.01842820627466861,0.02529068358950641
RF12,5.1865,0,0,0,0,-0.7804773161,5.249467304,0.9049446619,1.7044216,0,0,0,0,0.018503225425922618,0.025393639116273955
PS24,5.1865,0,0,0,0,-0.7804773161,5.249467304,0.9049446619,1.7044216,0,0,0,0,0.018503225425922618,0.025393639116273955
DR18,5.2635,0,0,0,0,-0.9169022861,3.964018188,1.035171271,0.9975432042,0,0,0,0,0.019789851434240065,0.019426845477332418
QM7,5.49,0,0,0,0,0.004357039877,0.2264087176,1.35033403,0.07435624672,0,0,0,0,0.022602528986691447,0.005303897938959532
DR19,5.7165,0,0,0,0,0.9221364272,-3.30621005,1.031920446,0.7542238898,0,0,0,0,0.019758753232065298,0.016892213850466593
PS25,5.7935,0,0,0,0,0.7845660155,-4.51987335,0.9009785694,1.354657817,0,0,0,0,0.018462633945662513,0.022638686860163345
RF13,5.7935,0,0,0,0,0.7383178351,-4.589409365,0.9082413833,1.365577752,0,0,0,0,0.018536898492849327,0.022729749262088858
PS26,5.7935,0,0,0,0,0.7383178351,-4.589409365,0.9082413833,1.365577752,0,0,0,0,0.018536898492849327,0.022729749262088858
DR20,5.9475,0,0,0,0,0.4793078169,-7.049206769,0.7228577765,3.137558027,0,0,0,0,0.01653723345597849,0.03445341789757429
PS27,6.1015,0,0,0,0,0.2202977987,-9.509004173,0.6163427633,5.658547021,0,0,0,0,0.015270300348277907,0.0462688700088753
RF14,6.1015,0,0,0,0,0.1892970281,-9.793617426,0.6212522959,5.703620677,0,0,0,0,0.015330998176162593,0.04645278387481141
PS28,6.1015,0,0,0,0,0.1892970281,-9.793617426,0.6212522959,5.703620677,0,0,0,0,0.015330998176162593,0.04645278387481141
DR21,6.1785,0,0,0,0,0.06311469843,-11.07954574,0.6021499731,7.283285402,0,0,0,0,0.01509345847487097,0.05249284277936002
QM8,6.405,0,0,0,0,-0.9696822047,-3.61690867,0.7472670139,11.52053363,0,0,0,0,0.016814127432735502,0.06601957536357943
DR22,6.6315,0,0,0,0,-2.866097557,6.692954994,1.62741711,9.953502738,0,0,0,0,0.02481337662530707,0.061365517179802966
PS29,6.7085,0,0,0,0,-3.294597004,6.344758088,2.093653675,8.96681877,0,0,0,0,0.02814419625253098,0.0582445943244746
RF15,6.7085,0,0,0,0,-3.397809927,5.902711924,2.110135521,9.037408159,0,0,0,0,0.028254758702156962,0.05847340403357163
PS30,6.7085,0,0,0,0,-3.397809927,5.902711924,2.110135521,9.037408159,0,0,0,0,0.028254758702156962,0.05847340403357163
DR23,6.8625,0,0,0,0,-4.29753382,5.302515387,3.274725565,7.341642954,0,0,0,0,0.03519847791652278,0.05270272347125196
PS31,7.0165,0,0,0,0,-5.197257713,4.702318851,4.711638593,5.827541606,0,0,0,0,0.04222040683349975,0.0469547053977155
RF16,7.0165,0,0,0,0,-5.424953605,4.420695534,4.748298406,5.872883917,0,0,0,0,0.04238434058191134,0.0471370215174887
PS32,7.0165,0,0,0,0,-5.424953605,4.420695534,4.748298406,5.872883917,0,0,0,0,0.04238434058191134,0.0471370215174887
