 Nseed      iq         dt[nsec]         dW[Mev/u]           x[cm]            x'[mrad]          y[cm]            y'[mrad]
      0      1      -0.11115E+00       0.25936E-01      -0.56880E+01      -0.11817E+02       0.82483E+01       0.15887E+02
      0      1      -0.15763E+00       0.32965E-01       0.49045E+01       0.10224E+02       0.41753E+01       0.68855E+01
      0      1      -0.16837E+00       0.80180E-01       0.92626E+01       0.18478E+02       0.50854E+01       0.92972E+01
      0      1       0.24761E+00      -0.57031E-01       0.63248E+01       0.11760E+02      -0.77168E+01      -0.15320E+02
      0      1       0.79101E-01      -0.44902E-01       0.67386E+01       0.12420E+02       0.20488E+01       0.31207E+01
      0      1      -0.12246E+00       0.65109E-02       0.83524E+01       0.16242E+02      -0.55596E+01      -0.12352E+02
      0      1      -0.57031E-01      -0.18968E-01       0.20645E+01       0.50838E+01      -0.22210E+01      -0.34732E+01
      0      1      -0.10540E+00       0.34077E-01      -0.57002E+01      -0.12594E+02       0.73314E+01       0.13733E+02
      0      1       0.34125E-01      -0.10092E-01      -0.32024E+00      -0.10306E+01      -0.72302E+01      -0.13923E+02
      0      1       0.59720E-01      -0.55851E-02       0.45859E+01       0.10275E+02      -0.63129E+01      -0.12046E+02
      0      1      -0.84647E-01      -0.60152E-02      -0.51240E+01      -0.11333E+02       0.56679E+01       0.12466E+02
      0      1       0.14592E+00      -0.19976E-01      -0.30653E+01      -0.54305E+01       0.39702E+01       0.65399E+01
      0      1       0.12777E+00      -0.45085E-01       0.10301E+01       0.95606E+00       0.49011E+01       0.87779E+01
      0      1       0.34783E+00      -0.73709E-01      -0.26948E+01      -0.41987E+01       0.74524E+01       0.13616E+02
      0      1      -0.58987E-01       0.52046E-01      -0.81302E+01      -0.15204E+02      -0.32861E+01      -0.71955E+01
      0      1      -0.12807E+00       0.12807E-01      -0.66536E+01      -0.12789E+02      -0.66607E+00      -0.16203E+01
      0      1      -0.16022E+00       0.29679E-01       0.23845E+01       0.51656E+01       0.75834E+01       0.15670E+02
      0      1      -0.17094E+00       0.56090E-02       0.25103E+01       0.60368E+01       0.27698E+01       0.58400E+01
      0      1       0.25392E-02       0.70119E-02       0.89454E+01       0.18996E+02       0.51671E+01       0.97765E+01
      0      1      -0.10517E+00       0.36949E-01      -0.58641E+01      -0.11476E+02      -0.51308E+01      -0.87712E+01
      0      1      -0.11785E+00       0.39147E-01       0.67843E+01       0.14149E+02      -0.21271E+01      -0.51611E+01
      0      1       0.11853E+00      -0.38532E-01      -0.34390E+01      -0.67298E+01      -0.19165E+01      -0.28451E+01
      0      1      -0.56743E-01       0.55295E-01       0.18999E+01       0.47164E+01       0.90174E+01       0.17756E+02
      0      1      -0.11065E+00       0.12489E-01      -0.74135E+01      -0.14065E+02       0.78497E+01       0.14813E+02
      0      1       0.99166E-01      -0.23893E-01      -0.60960E+01      -0.11638E+02       0.45623E+01       0.82432E+01
      0      1       0.39966E-02       0.18558E-01       0.54831E+01       0.98044E+01       0.53778E+01       0.12088E+02
      0      1       0.25369E+00      -0.62701E-01       0.92054E+01       0.16859E+02      -0.14906E+01      -0.19092E+01
      0      1       0.15551E+00      -0.35350E-01       0.44363E+01       0.72594E+01       0.27175E+01       0.49662E+01
      0      1       0.21855E+00      -0.55619E-01       0.91714E+01       0.17105E+02       0.49926E+01       0.89048E+01
      0      1       0.39898E-01       0.28264E-01       0.79116E+01       0.14768E+02      -0.77519E+00      -0.11365E+01
      0      1      -0.80742E-01       0.22146E-01       0.48096E+01       0.91342E+01      -0.95650E+01      -0.18346E+02
      0      1       0.14208E+00      -0.27443E-01      -0.65784E+01      -0.12633E+02       0.26198E+01       0.46613E+01
      0      1      -0.15648E+00       0.60287E-01      -0.18533E+01      -0.47401E+01       0.37017E+01       0.69681E+01
      0      1       0.14145E+00      -0.82899E-02      -0.30966E+01      -0.63935E+01       0.76511E+01       0.15642E+02
      0      1      -0.15052E+00       0.68749E-01       0.19820E+01       0.37016E+01      -0.32585E+01      -0.58138E+01
      0      1       0.12529E+00      -0.19270E-01      -0.27227E+00      -0.59537E+00      -0.26468E+01      -0.41500E+01
      0      1      -0.11872E+00      -0.12649E-02       0.69694E+00       0.25262E+01       0.40218E+01       0.78548E+01
      0      1       0.78931E-01       0.69972E-02       0.78319E+01       0.15556E+02       0.99621E+01       0.18867E+02
