n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  26  drift      2.20000       21.40246       -0.05488        3.53345        2.67671        9.61765        7.51303        3.37244       11.41390        0.00669           7.69644            13.32241            16.09959             7.49039            12.52040            14.79079            12.05030            38.28025            63.22089         -0.00099       -0.00876       -0.00012       -0.00099        0.21565        0.39715       -3.01564        1.39935       -2.09991        0.82512       -2.88208          15.38147              0.0         10001.0
  27  drift      2.50000       21.40246       -0.05488        3.76265        2.88271       10.21779        8.07284        2.62104        9.85735        0.00669           7.69644            13.32241            16.09959             7.49039            12.52040            14.79079            12.06315            38.39222            63.30127         -0.00125       -0.00876       -0.00014       -0.00099        0.21565        0.48258       -3.23204        1.58678       -2.29659        0.95701       -2.14694           9.28095              0.0         10001.0
  28  rfgap      2.50000       21.75815       -0.04417        3.76265        2.88271       10.21779        8.07284        2.59962        9.76888        0.00729           7.77525            13.68739            16.34315             7.51081            12.62366            14.82520            12.14882            39.26565            65.38826         -0.00125       -0.01089       -0.00014       -0.00111        0.21745        0.47797       -4.09727        1.58376       -2.83542        0.96235       -2.38244           9.21517              0.0         10001.0
  29  drift      2.58000       21.75815       -0.04417        3.84057        2.95076       10.44222        8.25790        2.38608        9.28946        0.00729           7.77525            13.68739            16.34315             7.51081            12.62366            14.82520            12.15248            39.34611            65.41331         -0.00134       -0.01089       -0.00015       -0.00111        0.21745        0.49934       -4.18712        1.65003       -2.91057        1.00831       -2.14963           7.76110              0.0         10001.0
  30  drift      2.66000       21.75815       -0.04417        3.91859        3.01899       10.66664        8.44296        2.17667        8.81004        0.00729           7.77525            13.68739            16.34315             7.51081            12.62366            14.82520            12.15641            39.36069            65.43756         -0.00143       -0.01089       -0.00016       -0.00111        0.21745        0.52071       -4.27697        1.71774       -2.98572        1.05548       -1.91692           6.45653              0.0         10001.0
  31  drift      2.74000       21.75815       -0.04417        3.99668        3.08740       10.89106        8.62802        1.97271        8.33062        0.00729           7.77525            13.68739            16.34315             7.51081            12.62366            14.82520            12.16060            39.44026            65.46101         -0.00151       -0.01089       -0.00017       -0.00111        0.21745        0.54207       -4.36682        1.78689       -3.06086        1.10386       -1.68432           5.30141              0.0         10001.0
  32  drift      2.82000       21.75815       -0.04417        4.07486        3.15596       11.11548        8.81308        1.77608        7.85120        0.00729           7.77525            13.68739            16.34315             7.51081            12.62366            14.82520            12.16505            39.45390            65.48366         -0.00160       -0.01089       -0.00018       -0.00111        0.21745        0.56344       -4.45667        1.85748       -3.13601        1.15343       -1.45185           4.29566              0.0         10001.0
  33  drift      2.90000       21.75815       -0.04417        4.15311        3.22468       11.33990        8.99814        1.58949        7.37178        0.00729           7.77525            13.68739            16.34315             7.51081            12.62366            14.82520            12.16975            39.46707            65.50551         -0.00169       -0.01089       -0.00019       -0.00111        0.21745        0.58481       -4.54652        1.92951       -3.21116        1.20421       -1.21953           3.43917              0.0         10001.0
  34  rfgap      2.90000       22.11494       -0.02885        4.15311        3.22468       11.33990        8.99814        1.57670        7.30888        0.00756           7.84266            13.99459            17.13974             7.52905            12.66583            15.08735            12.17392            39.39899            65.82955         -0.00169       -0.01280       -0.00019       -0.00112        0.21923        0.57997       -5.57163        1.92858       -3.87127        1.21112       -1.31085           3.43782              0.0         10001.0
  35  drift      2.98000       22.11494       -0.02885        4.24913        3.30721       11.61381        9.22175        1.39338        6.78239        0.00756           7.84266            13.99459            17.13974             7.52905            12.66583            15.08735            12.17758            39.33872            65.83886         -0.00179       -0.01280       -0.00020       -0.00112        0.21923        0.59905       -5.70455        2.01879       -3.97687        1.27391       -1.05910           2.68405              0.0         10001.0
