,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
13,7.0,4.0,16.0,6.399452451636051e-09,4.095413680646185e-17,1.1451257111824316e-21,3.3839706133216224e-11,1.2335091007833477e-07,0.0,0.4
14,7.0,4.0,20.0,5.287719482730357e-09,2.7960629022209046e-17,6.516941628508591e-22,2.552830121357195e-11,3.0856403245072103e-08,0.0,0.4
15,3.0,5.0,4.0,1.0406574617356337e-08,1.0830306000663069e-16,6.264740025495947e-21,7.91501107105729e-11,1.0707858813382457e-05,0.0,0.4
16,3.0,5.0,8.0,7.921758175659655e-09,6.275691306711766e-17,2.660473487074476e-21,5.157977788896028e-11,1.9193086469415028e-06,0.0,0.4
17,3.0,5.0,12.0,6.291871536338385e-09,3.958896975506909e-17,1.3223252839456168e-21,3.6363790835742314e-11,4.263664150558746e-07,0.0,0.4
18,3.0,5.0,16.0,5.140535937989456e-09,2.6425834570070763e-17,7.248403096255201e-22,2.6922858496554933e-11,1.071821869486917e-07,0.0,0.4
19,3.0,5.0,20.0,4.297954376654451e-09,1.8472838242538434e-17,4.264187352833245e-22,2.064990884443136e-11,2.856991178725996e-08,0.0,0.4
20,5.0,5.0,4.0,1.2770692582096197e-08,1.6310071657508396e-16,1.0127548677131416e-20,1.0063572266909707e-10,1.530967486434725e-05,0.0,0.4
21,5.0,5.0,8.0,9.552423521942158e-09,9.125284935210714e-17,4.054209553321286e-21,6.367267509160649e-11,2.529549355694542e-06,0.0,0.4
22,5.0,5.0,12.0,7.481331892830696e-09,5.597223927450892e-17,1.9123838231980388e-21,4.3730810914023064e-11,4.956229608591286e-07,0.0,0.4
23,5.0,5.0,16.0,6.047922888303076e-09,3.6578377094215445e-17,1.0058313552191075e-21,3.171484439846911e-11,1.0917093506160036e-07,0.0,0.4
24,5.0,5.0,20.0,5.007075057806438e-09,2.507137607938842e-17,5.754448810731376e-22,2.39884322345821e-11,2.7295294442179725e-08,0.0,0.4
25,7.0,5.0,4.0,1.228203186277832e-08,1.508558590457282e-16,7.552367426300337e-21,8.69043579246768e-11,4.971373447647835e-06,0.0,0.4
26,7.0,5.0,8.0,9.266167413823974e-09,8.586497504336163e-17,3.1165023483634588e-21,5.582564239096097e-11,7.346788405896808e-07,0.0,0.4
27,7.0,5.0,12.0,7.2861166169349256e-09,5.30889850226536e-17,1.4896670783601188e-21,3.85962054917335e-11,1.265518357753122e-07,0.0,0.4
