Diameter,FWHM,dist,shift[mm],yield[Bq/Bq/uA/s]
5.0,6.0,8.0,4.0,5.577411797505579e-09
5.0,6.0,8.0,6.0,3.442265165953814e-09
5.0,6.0,12.0,0.0,6.778799201380581e-09
5.0,6.0,12.0,2.0,6.147514780784457e-09
5.0,6.0,12.0,4.0,4.630309247555033e-09
5.0,6.0,12.0,6.0,3.0454919647543025e-09
5.0,6.0,16.0,0.0,5.54365517116451e-09
5.0,6.0,16.0,2.0,5.059961431456914e-09
5.0,6.0,16.0,4.0,3.91841559754451e-09
5.0,6.0,16.0,6.0,2.6798534166204923e-09
5.0,6.0,20.0,0.0,4.6263469049031545e-09
5.0,6.0,20.0,2.0,4.250348126440141e-09
5.0,6.0,20.0,4.0,3.3568561230800397e-09
5.0,6.0,20.0,6.0,2.3753812138830525e-09
7.0,6.0,4.0,0.0,1.0959881567540672e-08
7.0,6.0,4.0,2.0,9.772652034682076e-09
7.0,6.0,4.0,4.0,6.979193460761582e-09
7.0,6.0,4.0,6.0,4.073421907710823e-09
7.0,6.0,8.0,0.0,8.399433236381726e-09
7.0,6.0,8.0,2.0,7.605032385929783e-09
7.0,6.0,8.0,4.0,5.682694082309815e-09
7.0,6.0,8.0,6.0,3.6065100375258337e-09
7.0,6.0,12.0,0.0,6.6802260496368414e-09
7.0,6.0,12.0,2.0,6.106561617595178e-09
7.0,6.0,12.0,4.0,4.716012053653811e-09
7.0,6.0,12.0,6.0,3.170067982342374e-09
7.0,6.0,16.0,0.0,5.468140522297282e-09
7.0,6.0,16.0,2.0,5.039817141693824e-09
7.0,6.0,16.0,4.0,3.985475028156384e-09
7.0,6.0,16.0,6.0,2.7861526288917904e-09
7.0,6.0,20.0,0.0,4.579318125622662e-09
7.0,6.0,20.0,2.0,4.242118845364358e-09
7.0,6.0,20.0,4.0,3.414634142074024e-09
7.0,6.0,20.0,6.0,2.467584567946891e-09
