n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  26  drift      3.96350       23.11885        0.10653        2.00817        2.19404        5.49216        5.83965        3.19207       12.28868        0.00804           7.49973            12.39689            15.16439             7.46268            12.50349            14.44655            17.04508            42.60916            65.10186         -0.00014        0.00250        0.00004        0.00171        0.22405        1.22022        5.65888        0.48191       -4.53175        0.57810        2.45120          10.50643              0.0         10001.0
  27  rfgap      3.96350       23.52087        0.13481        2.00817        2.19404        5.49216        5.83965        3.16406       12.16730        0.00718           7.49846            12.42313            15.15940             7.46079            12.54697            14.46337            16.96564            42.14475            66.10942         -0.00014        0.00213        0.00004        0.00174        0.22599        1.20854        5.39015        0.48615       -4.85167        0.58323        2.17616          10.54853              0.0         10001.0
  28  drift      4.27150       23.52087        0.13481        1.32850        2.75861        3.65763        7.41673        3.95212       14.41998        0.00718           7.49846            12.42313            15.15940             7.46079            12.54697            14.46337            17.38199            42.33429            68.33623         -0.00008        0.00213        0.00010        0.00174        0.22599        1.15946        3.48609        0.21276       -6.14753        0.92201        2.74318          16.06324              0.0         10001.0
  29  rfgap      4.27150       23.92354        0.15791        1.32850        2.75861        3.65763        7.41673        3.91799       14.27664        0.00614           7.49836            12.41777            15.15286             7.45992            12.61381            14.49030            17.21913            41.75371            70.11538         -0.00008        0.00175        0.00010        0.00165        0.22791        1.14771        3.36959        0.21457       -6.64740        0.92997        2.33609          16.20545              0.0         10001.0
  30  drift      4.42550       23.92354        0.15791        1.01172        3.06261        2.77901        8.25790        4.25143       15.20508        0.00614           7.49836            12.41777            15.15286             7.45992            12.61381            14.49030            17.43520            41.97433            71.32426         -0.00005        0.00175        0.00012        0.00165        0.22791        1.10998        2.48293        0.12444       -7.39570        1.14623        2.53296          18.84462              0.0         10001.0
  31  quad       4.72450       23.92354        0.15791        0.70252        2.77333        1.99714        7.51561        4.90647       16.99942        0.00614           7.49892            12.42480            15.16143             7.43794            12.44510            14.31294            17.44781            42.07657            71.37671          0.00000        0.00186        0.00012       -0.00194        0.22791        0.93305        0.06472        0.06000       12.97986        0.94269        2.97706          25.08089              0.0         10001.0
  32  drift      4.87850       23.92354        0.15791        0.71400        2.18574        1.97745        5.94617        5.24759       17.92812        0.00614           7.49892            12.42480            15.16143             7.43794            12.44510            14.31294            18.19533            43.93287            79.37284          0.00003        0.00186        0.00009       -0.00194        0.22791        0.93973       -0.19303        0.06197       10.21126        0.58555        3.06171          27.51090              0.0         10001.0
  33  rfgap      4.87850       24.32493        0.16826        0.71400        2.18574        1.97745        5.94617        5.20332       17.74687        0.00479           7.49888            12.41192            15.16423             7.44605            12.52138            14.45053            17.85865            43.78351            82.68841          0.00003        0.00136        0.00009       -0.00206        0.22983        0.92835       -0.22632        0.06250        9.88672        0.58983        2.38025          28.01808              0.0         10001.0
  34  drift      5.18650       24.32493        0.16826        0.86814        1.06345        2.37968        2.92893        5.71886       19.18534        0.00479           7.49888            12.41192            15.16423             7.44605            12.52138            14.45053            19.02186            48.66936            94.04708          0.00007        0.00136        0.00002       -0.00206        0.22983        0.91505       -0.74439        0.09239        4.73030        0.13963        2.46925          31.77549              0.0         10001.0
  35  rfgap      5.18650       24.72714        0.17518        0.86814        1.06345        2.37968        2.92893        5.67145       18.99251        0.00342           7.49856            12.40378            15.17282             7.44753            12.53528            14.48328            18.84586            49.77747            97.50729          0.00007        0.00074        0.00002       -0.00213        0.23173        0.90340       -0.79306        0.09317        4.65594        0.14076        1.65741          32.06198              0.0         10001.0
  36  drift      5.34050       24.72714        0.17518        0.99238        0.53455        2.73244        1.45585        5.84141       19.50609        0.00342           7.49856            12.40378            15.17282             7.44753            12.53528            14.48328            19.24354            51.50577           101.09080          0.00008        0.00074       -0.00001       -0.00213        0.23173        0.88899       -1.06232        0.12174        2.17483        0.03556        1.67701          33.30952              0.0         10001.0
  37  quad       5.63950       24.72714        0.17518        0.98512        0.62198        2.72289        1.62468        6.17235       20.49914        0.00342           7.49850            12.40609            15.17564             7.44731            12.53683            14.48507            19.24536            51.42852           101.13770          0.00008       -0.00114       -0.00008       -0.00297        0.23173        0.69430        1.11005        0.11996       -2.67225        0.04815        1.80437          37.18716              0.0         10001.0
  38  drift      5.79350       24.72714        0.17518        0.85416        1.17059        2.33121        3.15628        6.34456       21.01304        0.00342           7.49850            12.40609            15.17564             7.44731            12.53683            14.48507            19.67320            53.35740           105.13774          0.00006       -0.00114       -0.00013       -0.00297        0.23173        0.68424        0.82350        0.09019       -5.27596        0.17055        1.81744          38.43677              0.0         10001.0
