 Nseed      iq         dt[nsec]         dW[Mev/u]           x[cm]            x'[mrad]          y[cm]            y'[mrad]
      0      1       0.27676E-01       0.56993E+00      -0.92896E+00      -0.15007E+01       0.64250E-01       0.23367E+01
      0      1       0.30667E-01      -0.30865E+00       0.11524E+00      -0.29156E+01      -0.37319E+00      -0.84596E+01
      0      1       0.47191E-01      -0.14090E+00      -0.19925E+00       0.43927E+01       0.32772E+00      -0.50374E+02
      0      1      -0.46314E-02       0.27582E+00       0.12175E+01       0.10293E+02       0.46109E-01      -0.13331E+02
      0      1       0.16512E-01      -0.20322E-01       0.83103E+00      -0.35017E+01       0.59827E-01      -0.14429E+02
      0      1       0.45415E-01      -0.25756E+00       0.13376E+01      -0.17478E+01       0.21573E+00      -0.37123E+02
      0      1       0.20685E-01      -0.12974E+00      -0.14059E+01      -0.28589E+01       0.46560E-01       0.20620E+02
      0      1      -0.27851E-02       0.84841E-01       0.61618E-01      -0.50966E+01      -0.29612E+00      -0.49494E+01
      0      1      -0.11459E-01       0.26944E+00      -0.16594E+01       0.33813E+01      -0.29134E+00       0.21071E+02
      0      1      -0.20537E-01       0.30728E+00      -0.11875E+01      -0.52556E+01       0.61439E-01       0.13119E+02
      0      1      -0.32313E-02       0.15420E+00       0.11470E+01       0.46946E-01      -0.33725E+00      -0.89178E+01
      0      1      -0.23012E-01       0.16571E+00      -0.25727E+00       0.46913E+01      -0.31538E+00      -0.71773E+01
      0      1       0.38260E-01       0.60754E+00      -0.15841E+00      -0.51406E+01       0.17420E+00      -0.15445E+02
      0      1       0.16303E-02       0.13660E+00      -0.70252E+00      -0.66045E+01      -0.73404E-01      -0.24186E+02
      0      1       0.48543E-02       0.53170E+00      -0.52766E+00      -0.51434E+01       0.26595E+00      -0.21601E+02
      0      1       0.11252E-01      -0.32208E-01      -0.33444E+00       0.12127E+02      -0.17427E-01       0.12361E+02
      0      1      -0.86872E-02       0.21505E+00      -0.75975E+00       0.60348E+01       0.25770E+00       0.98379E+01
      0      1       0.36891E-01      -0.14732E+00      -0.15381E+01      -0.51386E+00      -0.29627E+00       0.35708E+02
      0      1       0.14132E-01       0.46334E+00      -0.47631E+00      -0.17663E+01       0.13817E+00       0.25794E+02
      0      1      -0.13008E-03       0.13668E+00       0.60130E+00       0.32546E+01      -0.37182E+00       0.35373E+02
      0      1       0.30065E-02       0.24683E+00      -0.55513E+00      -0.52189E+01      -0.32906E-01       0.23283E+02
      0      1      -0.19376E-02       0.40651E+00      -0.91668E+00       0.61884E+01      -0.28288E-01       0.27632E+02
      0      1       0.39483E-01      -0.28204E+00      -0.14463E+00      -0.43649E+01      -0.28806E+00       0.45045E+02
      0      1      -0.91807E-01      -0.78003E+00       0.27822E+00       0.24477E+01       0.97083E-01       0.26592E+01
      0      1      -0.11057E-01       0.97287E-01      -0.78241E+00      -0.76624E+01      -0.66722E-01       0.20137E+02
      0      1       0.38707E-02      -0.64153E-01       0.14129E+01      -0.45761E+01       0.25073E+00      -0.21399E+02
