,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
23,11.0,4.0,16.0,5.0549577808356325e-09,2.557746763202593e-17,2.4869465995228565e-20,1.577005580054445e-10,0.03255734786938617,2.72406057289598e-13,1.2
24,11.0,4.0,20.0,4.26840032127605e-09,1.8234587578690708e-17,1.5346276021222126e-20,1.2388008726676828e-10,0.02644738026330405,9.771503919645449e-14,1.2
25,3.0,5.0,8.0,7.645177955932623e-09,5.862363327304069e-17,1.7488729516255895e-19,4.1819528352500457e-10,0.1124567894591021,2.5769628465485205e-11,1.2
26,3.0,5.0,10.0,6.794820481886272e-09,4.629211798436309e-17,1.2253260330189892e-19,3.500465730469289e-10,0.10114827372817868,1.7012643573322655e-11,1.2
27,3.0,5.0,12.0,6.095739452369278e-09,3.7246926218818837e-17,8.888674764753616e-20,2.981388060074303e-10,0.09187334244573504,1.1562594554819731e-11,1.2
28,3.0,5.0,16.0,4.994690603281928e-09,2.4996479574793145e-17,4.954535228035796e-20,2.2258785294880302e-10,0.07649941264895836,5.462936497874423e-12,1.2
29,3.0,5.0,20.0,4.185699068335767e-09,1.754961875452267e-17,2.954206385575963e-20,1.718780493715228e-10,0.06431441755766375,2.641030742769298e-12,1.2
30,5.0,5.0,8.0,9.211418109204323e-09,8.511548413560565e-17,2.6526055302830517e-19,5.150345163465311e-10,0.11674635002917597,3.441659499129479e-11,1.2
31,5.0,5.0,10.0,8.130597897117043e-09,6.62884549803706e-17,1.818328157665131e-19,4.2641859219142063e-10,0.10445384282226439,2.2299734199577445e-11,1.2
32,5.0,5.0,12.0,7.245589365373132e-09,5.262685627278282e-17,1.2829102117459449e-19,3.5817735994140457e-10,0.09373821995518035,1.4573670679407808e-11,1.2
33,5.0,5.0,16.0,5.8761276951722895e-09,3.4597614786622094e-17,6.873809665129069e-20,2.6217951226457547e-10,0.07668512599993031,6.475304478842602e-12,1.2
34,5.0,5.0,20.0,4.8766567107924415e-09,2.3821664218502517e-17,3.988354358556076e-20,1.9970864674710698e-10,0.06393227783957373,3.017845061047004e-12,1.2
35,7.0,5.0,8.0,8.965656121922282e-09,8.059091290169733e-17,2.0792320513484418e-19,4.5598597032676807e-10,0.0988090529034907,2.0996566684532217e-11,1.2
36,7.0,5.0,10.0,7.93380294840293e-09,6.308798795109067e-17,1.4275872700364173e-19,3.778342586421217e-10,0.08730570148527954,1.294833657162628e-11,1.2
37,7.0,5.0,12.0,7.077135716805205e-09,5.0187485296176944e-17,1.0163534209701895e-19,3.188029831996855e-10,0.07819494765745358,8.281061922439874e-12,1.2
