n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  25  drift      4.40000       21.40957       -0.02170        4.50740        3.94729        9.99396        9.96485        1.23478        5.31367        0.00542           7.35332            12.43659            15.21295             7.55462            12.36662            14.59189            10.88300            29.75571            45.18711          0.01033        0.01514       -0.00109       -0.00441        0.21565        0.69040       -4.40187        2.38335       -3.78812        1.77911       -0.07330           2.28317             79.0          9783.0
  26  drift      4.60000       21.40961       -0.02148        4.61623        4.09657        9.99912        9.99675        1.28336        4.77000        0.00544           7.27830            12.30341            14.44911             7.53510            12.19028            14.55556            10.94839            29.62402            45.05555          0.03669        0.06031       -0.00100       -0.00640        0.21565        0.72435       -4.50505        2.52559       -3.93335        1.92119        0.28110           2.45161             92.0          9691.0
  27  drift      4.90000       21.41001       -0.01964        4.73959        4.29768        9.99704        9.96879        1.60298        6.64227        0.00547           7.12162            12.05477            14.37659             7.48725            12.11547            14.48352            11.09456            29.48569            44.84516          0.04129        0.06328       -0.00851       -0.02516        0.21565        0.77031       -4.61281        2.72095       -4.11728        2.12796        0.81172           3.77443            208.0          9483.0
  28  rfgap      4.90000       21.76791        0.00066        4.73959        4.29768        9.99704        9.96879        1.58982        6.58336        0.00517           7.11021            11.98752            14.41674             7.48134            12.15340            14.39123            11.10690            29.51938            44.76024          0.04129        0.08636       -0.00851       -0.02916        0.21745        0.76377       -6.16329        2.74798       -5.32684        2.14735        0.70728           3.76983              0.0          9483.0
  29  drift      5.10000       21.76838        0.00283        4.83156        4.45299        9.99488        9.98044        1.86821        7.71410        0.00519           6.96631            11.55281            14.43199             7.42750            11.93231            14.28164            11.23148            29.45787            44.46470          0.04718        0.09632       -0.02363       -0.06241        0.21745        0.78017       -6.26350        2.91464       -5.49670        2.32207        1.02151           5.14796            217.0          9266.0
  30  drift      5.30000       21.76869        0.00425        4.91569        4.59899        9.99961        9.99666        2.19383        8.84485        0.00521           6.82415            11.20482            13.91039             7.36170            11.74079            14.23989            11.35849            29.35214            44.17177          0.03885        0.07425       -0.03418       -0.08417        0.21745        0.79657       -6.34910        3.07989       -5.65313        2.49897        1.33472           7.01947            218.0          9048.0
  31  drift      5.50000       21.76872        0.00439        5.01226        4.70854        9.99754        9.99840        2.55397        9.97560        0.00524           6.71920            11.06824            13.82666             7.24933            11.66951            14.20512            11.50718            29.28326            44.00189          0.01875        0.02994       -0.03480       -0.08362        0.21745        0.81157       -6.44418        3.25210       -5.76339        2.66005        1.64763           9.39035            235.0          8813.0
  32  drift      5.70000       21.76914        0.00631        5.08561        4.81932        9.99777        9.99473        2.93255       11.10634        0.00527           6.59471            10.88281            13.66329             7.15226            11.41028            14.14790            11.64042            29.24002            43.73975          0.03257        0.05485       -0.02843       -0.07106        0.21745        0.81710       -6.50392        3.41118       -5.87099        2.82451        1.95757          12.23888            260.0          8553.0
  33  drift      5.90000       21.76963        0.00857        5.12828        4.91053        9.99646        9.99903        3.32878       12.23709        0.00530           6.44142            10.59301            13.57208             7.03578            11.22807            14.11448            11.81031            29.35870            43.39793          0.03994        0.06771       -0.01839       -0.04811        0.21745        0.81598       -6.52856        3.55120       -5.95435        2.98098        2.26358          15.54278            305.0          8248.0
  34  rfgap      5.90000       22.12687        0.02509        5.12828        4.91053        9.99646        9.99903        3.30127       12.12295        0.00448           6.41011            10.52762            13.40244             7.03455            11.22294            14.07265            11.75086            28.98895            43.75690          0.03994        0.09183       -0.01839       -0.05727        0.21923        0.80802       -8.52201        3.59775       -7.59545        3.00590        1.86835          15.61376              0.0          8248.0
  35  drift      6.10000       22.12703        0.02582        5.18189        4.99069        9.99988        9.99801        3.65230       13.02666        0.00453           6.23101            10.17017            12.62591             6.84809            10.80650            13.98900            11.97998            29.14800            43.47203          0.05690        0.12625       -0.00602       -0.02503        0.21923        0.81388       -8.54487        3.77896       -7.68070        3.18938        2.09748          18.74532            389.0          7859.0
  36  drift      6.30000       22.12766        0.02868        5.23959        5.02950        9.99598        9.99946        3.99708       13.93036        0.00456           6.06675             9.88723            12.57117             6.63594            10.47456            13.26733            12.17497            29.40140            42.95310          0.05479        0.11658        0.00929        0.00880        0.21923        0.78922       -8.58746        3.96819       -7.68304        3.34272        2.31423          22.09194            395.0          7464.0
  37  drift      6.50000       22.12794        0.02992        5.28564        5.08380        9.99921        9.99612        4.35902       14.83406        0.00460           5.90584             9.57004            11.94016             6.45215            10.04181            13.10086            12.37646            29.49754            42.71911          0.04744        0.09949       -0.00561       -0.02446        0.21923        0.77151       -8.60837        4.14828       -7.71943        3.51258        2.53460          25.84620            365.0          7099.0
  38  drift      6.70000       22.12833        0.03168        5.32079        5.14695        9.99993        9.99934        4.71421       15.73777        0.00463           5.73489             9.18591            11.82989             6.28736             9.88006            12.90667            12.51736            29.91118            42.21761          0.04640        0.09200       -0.04269       -0.09769        0.21923        0.75034       -8.62844        4.32894       -7.78497        3.69476        2.75674          29.88967            338.0          6761.0
  39  drift      6.90000       22.12867        0.03323        5.34564        5.20578        9.99955        9.99526        5.07316       16.64147        0.00465           5.56371             8.83571            11.26285             6.13585             9.59507            12.76789            12.64261            29.85700            41.84583          0.05348        0.10924       -0.06185       -0.13377        0.21923        0.72611       -8.63200        4.50390       -7.83548        3.87303        2.97513          34.27175            323.0          6438.0
  40  drift      7.20000       22.12958        0.03733        5.38261        5.26940        9.99967        9.99350        5.63080       17.99703        0.00468           5.33448             8.55185            10.87330             5.90062             9.31589            12.64886            12.86324            29.80976            41.37372          0.06058        0.11399       -0.07277       -0.14549        0.21923        0.65895       -8.63038        4.76264       -7.86972        4.12647        3.30275          41.49591            472.0          5966.0
  41  rfgap      7.20000       22.48359        0.03879        5.38261        5.26940        9.99967        9.99350        5.58511       17.82271        0.00330           5.46334             9.17341            11.60457             6.07965            10.23573            13.69328            12.31449            26.73436            39.57714          0.06058        0.14954       -0.07277       -0.18248        0.22099        0.64971      -10.92026        4.68777       -9.78214        4.03721        2.35724          43.32601              0.0          5966.0
  42  drift      7.40000       22.48360        0.03882        5.41173        5.35188        9.99893        9.99944        5.84487       18.46168        0.00331           5.27148             8.74997            11.28301             5.91341             9.76736            13.50015            12.46755            26.79465            39.49102          0.05638        0.12849       -0.04796       -0.11753        0.22099        0.63090      -10.93453        4.91109       -9.89713        4.28166        2.46042          46.86741            352.0          5614.0
  43  drift      7.60000       22.48406        0.04087        5.43686        5.38885        9.99954        9.99635        6.09606       19.10065        0.00332           5.09675             8.52628            11.10916             5.69657             9.46665            11.37135            12.57201            26.86101            39.24180         -0.00892       -0.02011       -0.02813       -0.06691        0.22099        0.57013      -10.93130        5.12673       -9.96797        4.50627        2.56780          50.55875            341.0          5273.0
  44  drift      7.80000       22.48418        0.04139        5.45133        5.40314        9.99959        9.99270        6.35862       19.73962        0.00334           4.90775             8.15484             9.66786             5.48656             9.17878            11.22787            12.68379            27.16544            39.17151         -0.00557       -0.01141       -0.02852       -0.06739        0.22099        0.53019      -10.94402        5.35255       -9.96160        4.70359        2.67982          54.52279            340.0          4933.0
  45  drift      8.00000       22.48450        0.04285        5.47488        5.45747        9.99427        9.99674        6.62217       20.37858        0.00335           4.75906             7.91859             9.48903             5.32176             8.83281            10.49651            12.76116            27.29654            38.96722          0.02718        0.04996       -0.00034       -0.00912        0.22099        0.48068      -10.93595        5.56758      -10.05959        4.94726        2.80044          58.77760            266.0          4667.0
  46  drift      8.20000       22.48427        0.04181        5.49031        5.47030        9.99814        9.99767        6.89840       21.01755        0.00337           4.59586             7.77787             9.47943             5.12270             8.42043            10.31284            12.87200            27.45580            38.97204          0.07172        0.12807       -0.00404       -0.01473        0.22099        0.47676      -10.95423        5.79782      -10.08996        5.16370        2.91902          63.23438            290.0          4377.0
  47  rfgap      8.20000       22.83544        0.03073        5.49031        5.47030        9.99814        9.99767        6.84373       20.81291        0.00180           5.18866            11.63263            16.32649             5.70969            11.52967            15.80489            12.25274            23.62773            32.61247          0.07172        0.16386       -0.00404       -0.01236        0.22274        0.46713      -12.40000        5.17615      -11.48495        4.66958        1.42641          66.41000              0.0          4377.0
  48  drift      8.40000       22.83514        0.02943        5.54694        5.50010        9.99761        9.98804        7.01783       21.18732        0.00181           4.99923            10.94350            15.89470             5.46223            10.88826            15.45530            12.39373            23.98052            32.82755          0.09582        0.21457        0.03096        0.07161        0.22274        0.48084      -12.53059        5.48367      -11.56518        4.93446        1.47275          69.03730            301.0          4076.0
  49  drift      8.60000       22.83471        0.02754        5.57208        5.55430        9.99863        9.99279        7.14823       21.56173        0.00181           4.75743            10.24810            13.04660             5.24526            10.44035            13.78265            12.49294            23.76470            33.07543          0.12712        0.27165        0.03500        0.08369        0.22274        0.50955      -12.70527        5.81473      -11.74005        5.24033        1.49927          71.05803            276.0          3800.0
  50  drift      8.80000       22.83451        0.02666        5.58523        5.58003        9.99929        9.99443        7.28150       21.93614        0.00182           4.54370             9.27284            12.83437             5.03318            10.16516            13.59888            12.50145            23.86952            33.26762          0.12504        0.24935        0.06149        0.13754        0.22274        0.50126      -12.81605        6.11702      -11.82428        5.51186        1.54188          73.68208            257.0          3543.0
  51  drift      9.00000       22.83421        0.02535        5.59816        5.58726        9.99726        9.99574        7.40816       22.31055        0.00181           4.34889             8.63575            12.57939             4.82547             9.77858            12.74083            12.55067            24.08734            33.61806          0.06053        0.10342        0.09520        0.20509        0.22274        0.52674      -12.91118        6.42065      -11.86191        5.76402        1.56687          75.96857            241.0          3302.0
  52  drift      9.20000       22.83377        0.02341        5.60407        5.60013        9.99781        9.99731        7.55889       22.68496        0.00181           4.17684             8.10459            12.30765             4.64298             9.18429            12.45328            12.60942            24.39186            34.18621          0.03143        0.04879        0.09574        0.19689        0.22274        0.55689      -12.94321        6.69925      -11.89639        6.01819        1.60041          78.72297            214.0          3088.0
