n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  34  drift      5.18650       24.31729        0.13680        0.95468        1.42306        2.67245        3.43082        3.92233       13.30058        0.00284           7.55389            12.95069            15.33533             7.85265            15.38255            23.43115            20.58883            58.85334            90.47400          0.00046        0.00762       -0.00023        0.00091        0.22983        1.30682       -0.85515        0.11092        6.50198        0.23708       -0.00083          13.80964              0.0         10001.0
  35  rfgap      5.18650       24.72381        0.16172        0.95468        1.42306        2.67245        3.43082        3.89028       13.17526        0.00287           7.55280            12.88658            15.42380             7.86246            15.54310            23.46128            20.53509            58.88798            90.11168          0.00046        0.00766       -0.00023        0.00080        0.23173        1.29439       -0.94226        0.11186        6.33185        0.23875       -0.20227          13.84472              0.0         10001.0
  36  drift      5.34050       24.72300        0.15842        1.09086        0.85093        3.07217        1.95898        3.89992       13.28236        0.00280           7.55432            12.88331            15.62560             7.86673            15.55246            23.44003            20.42939            58.57624            91.16925          0.00058        0.00773       -0.00022        0.00097        0.23173        1.29766       -1.25781        0.14601        3.66078        0.08532        0.09853          13.98536              0.0         10001.0
  37  quad       5.63950       24.72300        0.15842        1.07123        0.34055        2.98789        1.13699        3.94287       13.52891        0.00280           7.55560            12.89332            15.63774             7.86820            15.54691            23.46703            20.42964            58.58257            91.17909          0.00063       -0.00487       -0.00025       -0.00329        0.23173        1.12142        1.39758        0.14078       -0.82869        0.01366        0.17901          14.29492              0.0         10001.0
  38  drift      5.79350       24.72324        0.15938        0.92287        0.76986        2.52236        2.55186        4.04081       13.75301        0.00339           7.56617            12.96641            16.05747             7.87316            15.55379            23.47742            20.79595            60.30631            93.42573          0.00055       -0.00493       -0.00030       -0.00381        0.23173        1.10422        1.00728        0.10434       -2.81024        0.06978        0.72576          14.74947              0.0         10001.0
  39  rfgap      5.79350       25.13062        0.18082        0.92287        0.76986        2.52236        2.55186        4.00844       13.62424        0.00311           7.56769            13.03219            16.11897             7.87828            15.59149            23.67729            21.01538            60.42358            94.63365          0.00055       -0.00470       -0.00030       -0.00345        0.23364        1.09337        0.92145        0.10518       -2.86907        0.07031        0.53036          14.59613              0.0         10001.0
  40  drift      6.10150       25.13137        0.18381        0.74557        1.78960        1.86251        5.46698        4.34262       14.17048        0.00437           7.57699            13.20926            16.11869             7.91962            15.88209            25.18967            22.21394            62.41969            97.30270          0.00042       -0.00433       -0.00041       -0.00377        0.23364        1.03818        0.31418        0.06856       -7.14040        0.37793        1.28681          16.20692              0.0         10001.0
  41  rfgap      6.10150       25.53950        0.20155        0.74557        1.78960        1.86251        5.46698        4.30841       14.03876        0.00383           7.57486            13.18606            16.05120             7.94135            16.06321            25.59873            22.52819            62.33932            99.82278          0.00042       -0.00397       -0.00041       -0.00341        0.23553        1.02761        0.25855        0.06914       -7.34638        0.37995        1.00671          15.98270              0.0         10001.0
  42  drift      6.25550       25.53977        0.20260        0.72569        2.32662        1.94007        6.96587        4.49569       14.29965        0.00430           7.57363            13.17367            15.97777             7.97311            16.37203            26.68627            23.17316            62.67181           101.00212          0.00036       -0.00376       -0.00047       -0.00356        0.23553        0.99378       -0.00640        0.06551       -9.61836        0.63963        1.27415          16.91807              0.0         10001.0
  43  quad       6.55450       25.53977        0.20260        1.01020        2.65315        2.84330        7.74261        4.87560       14.83682        0.00430           7.57274            13.17543            15.97990             7.93923            16.00321            25.14251            23.17296            62.61041           100.90316          0.00034        0.00248       -0.00042        0.00631        0.23553        0.77265       -2.42131        0.12696        4.46755        0.83531        1.44417          19.89836              0.0         10001.0
