NAME,S,X,Y,PX,PY,ALFX,ALFY,BETX,BETY,EMITX,EMITY,DX,DY,SIGX,SIGY
DR13,3.8865,0,0,0,0,6.442439303,-4.793050429,6.005119032,5.212825249,0,0,0,0,0.047664741138895454,0.04440920633717304
RF9,3.9635,0,0,0,0,5.6069845,-5.487545738,5.082473909,6.042175649,0,0,0,0,0.043850445256619304,0.04781158065563566
DR14,4.1175,0,0,0,0,4.607683582,-6.293785925,3.483144402,7.886800575,0,0,0,0,0.036301299195944936,0.05462442247144907
RF10,4.2715,0,0,0,0,3.488354077,-7.645540339,2.215105425,10.06736441,0,0,0,0,0.028949004179919295,0.061715510134090205
DR15,4.3485,0,0,0,0,3.02440367,-8.106426082,1.706839714,11.29667229,0,0,0,0,0.025411646090169573,0.0653749987794662
QM6,4.575,0,0,0,0,1.021623757,3.750537156,0.7527115215,13.36469045,0,0,0,0,0.016875269234438297,0.07110757707408165
DR16,4.8015,0,0,0,0,-0.03736609216,12.55843125,0.5864618764,8.461025927,0,0,0,0,0.014895542377679262,0.0565780456241643
RF11,4.8785,0,0,0,0,-0.2028674939,10.74060196,0.6076709527,6.669743605,0,0,0,0,0.015162494878260591,0.050233217744633685
DR17,5.0325,0,0,0,0,-0.4681567065,8.039324838,0.7115698097,3.761930551,0,0,0,0,0.0164076047452363,0.03772609165345097
RF12,5.1865,0,0,0,0,-0.7804771775,5.249466511,0.9049445365,1.704421358,0,0,0,0,0.018503224143908013,0.025393637313533106
DR18,5.2635,0,0,0,0,-0.9169021401,3.964017663,1.035171116,0.9975431048,0,0,0,0,0.019789849952636402,0.01942684450944026
QM7,5.49,0,0,0,0,0.004356994121,0.2264089319,1.350333817,0.0743562666,0,0,0,0,0.02260252720404406,0.0053038986479886216
DR19,5.7165,0,0,0,0,0.9221362264,-3.306208914,1.031920326,0.7542235766,0,0,0,0,0.01975875208321198,0.016892210343124808
RF13,5.7935,0,0,0,0,0.738317658,-4.58940787,0.9082412991,1.3655772,0,0,0,0,0.01853689763360259,0.022729744668127494
DR20,5.9475,0,0,0,0,0.4793076708,-7.049204634,0.7228577494,3.137556846,0,0,0,0,0.016537233145987335,0.03445341141331328
RF14,6.1015,0,0,0,0,0.189296912,-9.793614548,0.6212523133,5.703618624,0,0,0,0,0.015330998390857466,0.04645277551454525
DR21,6.1785,0,0,0,0,0.0631145935,-11.07954255,0.6021500076,7.283282862,0,0,0,0,0.015093458907258526,0.052492833626084756
